item,value,used_in,source_file,expression
canopy__canopy_axis_2_cm__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""canopy_axis_2_cm""]])) - sum(is.na(interm[[""canopy""]][[""canopy_axis_2_cm""]]))"
canopy__canopy_cover_cm2__n_nonblank,2509,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""canopy_cover_cm2""]]))"
canopy__canopy_cover_cm2__min,0.441786466911065,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""canopy_cover_cm2""]], na.rm = TRUE)"
canopy__canopy_cover_cm2__max,1431388.15279185,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""canopy_cover_cm2""]], na.rm = TRUE)"
canopy__canopy_cover_cm2__n_blank,0,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""canopy_cover_cm2""]]))"
canopy__canopy_cover_cm2__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""canopy_cover_cm2""]])) - sum(is.na(interm[[""canopy""]][[""canopy_area_cm2""]]))"
canopy__branch_order__n_nonblank,2495,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""branch_order""]]))"
canopy__branch_order__min,0,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""branch_order""]], na.rm = TRUE)"
canopy__branch_order__max,4,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""branch_order""]], na.rm = TRUE)"
canopy__branch_order__n_blank,14,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""branch_order""]]))"
canopy__branch_order__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""branch_order""]])) - sum(is.na(interm[[""canopy""]][[""branch_order""]]))"
canopy__percent_N__n_nonblank,2390,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""percent_N""]]))"
canopy__percent_N__min,0.2,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""percent_N""]], na.rm = TRUE)"
canopy__percent_N__max,4.837029217,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""percent_N""]], na.rm = TRUE)"
canopy__percent_N__n_blank,119,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""percent_N""]]))"
canopy__percent_N__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""percent_N""]])) - sum(is.na(interm[[""canopy""]][[""percent_N""]]))"
