NewUID,sample_id,replicate,ScientificName_WFO,leaf_thickness_mm,measure_ratio,cv,flag_high_cv,confidence
723_16_cederberg,723_16_cederberg_JS,4,Stoebe,0.069,0.26848249027237353,0.45228269035084206,TRUE,both
709_26_langeberg,709_26_langeberg_JAS,2,Brunia noduliflora,0.033,0.25984251968503935,0.9233298932676134,TRUE,both
709_31_baviaanskloof,709_31_baviaanskloof_TEM,3,Enneapogon scoparius,0.134,0.25943852855759925,1.1376330688811072,TRUE,both
709_31_baviaanskloof,709_31_baviaanskloof_TEM,2,Enneapogon scoparius,0.133,0.2572533849129594,1.1376330688811072,TRUE,both
824_22_htr,824_22_htr_RDG,1,Osteospermum leptolobum,0.178,0.25105782792665726,0.8466148834499587,TRUE,both
619_25_hangklip,619_25_hangklip_JS,2,Erica placentiflora,0.1016,0.25,1.0515629736770118,TRUE,both
701_37_baviaanskloof,701_37_baviaanskloof_KE,3,Aspalathus kougaensis,0.04,0.24316109422492405,1.2398573902160026,TRUE,both
621_37_hangklip,621_37_hangklip_CC,5,Erica perspicua,0.012,0.23529411764705885,0.6068926335548221,TRUE,both
705_17_langeberg,705_17_langeberg_CM,4L,Tetraria fimbriolata,0.198,0.21568627450980393,0.5912110269602247,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,2L,Ficinia nigrescens,0.159,0.21486486486486486,0.7121210091096389,TRUE,both
725_7_cape_point,725_7_cape_point_c,1,Berzelia abrotanoides,0.006,0.20373514431239392,0.8628398081006552,TRUE,both
824_20_htr,824_20_htr_RDG,3L,Thesium horridum,0.343,0.19735327963176066,0.7782466859082173,TRUE,both
702_6_baviaanskloof,702_6_baviaanskloof_DEB,3,Themeda triandra,0.285,0.1936799184505606,1.291030018790445,TRUE,both
725_8_cederberg,725_8_cederberg_JL,5,Agathosma capensis,0.04,0.19138755980861244,0.9954797616746366,TRUE,both
725_8_cederberg,725_8_cederberg_JL,4,Agathosma capensis,0.04,0.19138755980861244,0.9954797616746366,TRUE,both
719_4_baviaanskloof,719_4_baviaanskloof_JAS,1,Leucadendron uliginosum,0.542,0.18767313019390583,1.292875414126375,TRUE,both
731_24_htr,731_24_htr_HKM,1,Chrysocoma ciliata,0.029,0.18649517684887462,0.6983606607310777,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,8,Ruschia aspera,0.411,0.18546931407942235,0.7955026025488484,TRUE,both
826_2_htr,826_2_htr_BHR,3,Eriocephalus pauperrimus,0.02,0.1834862385321101,0.6575596692265422,TRUE,both
719_4_baviaanskloof,719_4_baviaanskloof_JAS,2,Leucadendron uliginosum,0.526,0.18162983425414367,1.292875414126375,TRUE,both
702_6_baviaanskloof,702_6_baviaanskloof_DEB,1,Themeda triandra,0.263,0.17740303541315347,1.291030018790445,TRUE,both
701_37_baviaanskloof,701_37_baviaanskloof_KE,2,Aspalathus kougaensis,0.03,0.17699115044247787,1.2398573902160026,TRUE,both
814_2_cape_point,814_2_cape_point_a,1,Tetragonia fruticosa,0.102,0.15668202764976957,0.4859805547295248,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,10,Ruschia aspera,0.3396,0.15324909747292417,0.7955026025488484,TRUE,both
824_20_htr,824_20_htr_RDG,1L,Thesium horridum,0.258,0.14844649021864212,0.7782466859082173,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,9,Ruschia aspera,0.322,0.14530685920577616,0.7955026025488484,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,4L,Ficinia nigrescens,0.105,0.14189189189189189,0.7121210091096389,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,6,Ruschia aspera,0.304,0.13718411552346568,0.7955026025488484,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,5,Ruschia aspera,0.287,0.12951263537906135,0.7955026025488484,TRUE,both
621_27_hangklip,621_27_hangklip_CC,4,Erica fascicularis,0.05,0.1278772378516624,0.5572017434629604,TRUE,both
725_27_cederberg,725_27_cederberg_JL,5,Staberoha aemula,0.141,0.1196943972835314,0.4803168566282376,TRUE,both
731_5_cederberg,731_5_cederberg_SM,5l,Ficinia brevifolia,0.331,0.11906474820143886,0.47733967347410333,TRUE,both
726_31_baviaanskloof,726_31_baviaanskloof_ASH,1,Hibiscus aethiopicus,0.059,0.11184834123222746,0.7284365176575677,TRUE,both
709_26_langeberg,709_26_langeberg_JAS,1,Brunia noduliflora,0.014,0.11023622047244094,0.9233298932676134,TRUE,both
726_10_baviaanskloof,726_10_baviaanskloof_ASH,4,Cotyledon woodii,0.609,0.10322033898305084,0.5907292732665896,TRUE,both
826_6_htr,826_6_htr_BHR,2,Rosenia oppositifolia,0.03,0.1,0.7423074889580902,TRUE,both
710_25_langeberg,710_25_langeberg_CM,1,Cliffortia dentata,0.073,0.07765957446808511,1.2103881131070813,TRUE,both
729_8_htr,729_8_htr_BHR,2L,Euphorbia mauritanica,0.401,0.05647887323943663,1.013899631961887,TRUE,both
729_8_htr,729_8_htr_BHR,3L,Euphorbia mauritanica,0.382,0.05380281690140845,1.013899631961887,TRUE,both
729_8_htr,729_8_htr_BHR,1L,Euphorbia mauritanica,0.342,0.04816901408450705,1.013899631961887,TRUE,both
727_34_cape_point,727_34_cape_point_b,2,Berzelia lanuginosa,0.0032,0.034972677595628415,0.8261415993563465,TRUE,both
726_10_cederberg,726_10_cederberg_EFG,1,Psammotropha quadrangularis,0.062,2.0327868852459017,0.3541235345435511,FALSE,ratio_only
709_14_langeberg,709_14_langeberg_JAS,4,Cymbopogon marginatus,0.31,2.0327868852459017,0.3633183442825786,FALSE,ratio_only
824_19_htr,824_19_htr_RDG,3,Selago articulata,0.161,0.4992248062015504,0.3740710220577283,FALSE,ratio_only
807_22_htr,807_22_htr_HKM,4,Ursinia nana subsp. nana,0.401,0.498136645962733,0.25995236386977033,FALSE,ratio_only
